Epoch,Loss,Time
1,0.9403,0.0080
2,0.9182,0.0160
3,0.9100,0.0240
4,0.9062,0.0320
5,0.8998,0.0400
6,0.8895,0.0480
7,0.8765,0.0550
8,0.8629,0.0630
9,0.8502,0.0710
10,0.8392,0.0790
11,0.8298,0.0870
12,0.8213,0.0950
13,0.8132,0.1030
14,0.8047,0.1100
15,0.7958,0.1180
16,0.7865,0.1250
17,0.7772,0.1330
18,0.7683,0.1410
19,0.7599,0.1490
20,0.7522,0.1560
21,0.7451,0.1640
22,0.7382,0.1710
23,0.7315,0.1790
24,0.7246,0.1870
25,0.7177,0.1950
26,0.7109,0.2030
27,0.7044,0.2110
28,0.6981,0.2190
29,0.6922,0.2260
30,0.6866,0.2340
31,0.6811,0.2420
32,0.6758,0.2490
33,0.6705,0.2570
34,0.6653,0.2650
35,0.6601,0.2730
36,0.6551,0.2800
37,0.6504,0.2880
38,0.6458,0.2960
39,0.6413,0.3040
40,0.6370,0.3120
41,0.6327,0.3190
42,0.6285,0.3270
43,0.6244,0.3350
44,0.6203,0.3430
45,0.6163,0.3510
46,0.6125,0.3590
47,0.6087,0.3670
48,0.6051,0.3750
49,0.6015,0.3820
50,0.5980,0.3920
51,0.5945,0.4010
52,0.5910,0.4100
53,0.5877,0.4190
54,0.5844,0.4270
55,0.5812,0.4360
56,0.5780,0.4440
57,0.5749,0.4530
58,0.5718,0.4630
59,0.5688,0.4740
60,0.5658,0.4830
61,0.5629,0.4910
62,0.5600,0.5000
63,0.5571,0.5080
64,0.5543,0.5170
65,0.5516,0.5260
66,0.5488,0.5340
67,0.5461,0.5430
68,0.5435,0.5510
69,0.5408,0.5600
70,0.5383,0.5690
71,0.5357,0.5770
72,0.5332,0.5860
73,0.5307,0.5950
74,0.5282,0.6040
75,0.5258,0.6120
76,0.5234,0.6210
77,0.5210,0.6300
78,0.5187,0.6390
79,0.5163,0.6470
80,0.5140,0.6560
81,0.5118,0.6650
82,0.5095,0.6740
83,0.5073,0.6820
84,0.5051,0.6910
85,0.5029,0.7000
86,0.5007,0.7090
87,0.4986,0.7180
88,0.4965,0.7270
89,0.4944,0.7360
90,0.4923,0.7450
91,0.4903,0.7540
92,0.4882,0.7630
93,0.4862,0.7720
94,0.4842,0.7810
95,0.4822,0.7900
96,0.4803,0.7990
97,0.4783,0.8080
98,0.4764,0.8170
99,0.4745,0.8260
100,0.4726,0.8350
101,0.4707,0.8440
102,0.4688,0.8530
103,0.4670,0.8620
104,0.4651,0.8700
105,0.4633,0.8790
106,0.4615,0.8880
107,0.4597,0.8970
108,0.4579,0.9060
109,0.4562,0.9150
110,0.4544,0.9250
111,0.4527,0.9340
112,0.4509,0.9430
113,0.4492,0.9520
114,0.4475,0.9620
115,0.4458,0.9710
116,0.4441,0.9800
117,0.4425,0.9890
118,0.4408,0.9980
119,0.4392,1.0080
120,0.4375,1.0170
121,0.4359,1.0260
122,0.4343,1.0350
123,0.4327,1.0450
124,0.4311,1.0540
125,0.4295,1.0630
126,0.4280,1.0730
127,0.4264,1.0820
128,0.4249,1.0910
129,0.4233,1.1010
130,0.4218,1.1100
131,0.4203,1.1190
132,0.4187,1.1290
133,0.4172,1.1390
134,0.4158,1.1480
135,0.4143,1.1570
136,0.4128,1.1670
137,0.4113,1.1770
138,0.4099,1.1860
139,0.4084,1.1960
140,0.4070,1.2050
141,0.4055,1.2140
142,0.4041,1.2240
143,0.4027,1.2330
144,0.4013,1.2420
145,0.3999,1.2520
146,0.3985,1.2610
147,0.3971,1.2710
148,0.3957,1.2800
149,0.3943,1.2890
150,0.3930,1.2990
